"Iperzola Ponteroncariale","{'Italy': 14}"
"Orange County Blue Star","{'India': 2, 'Jordan': 8, 'Sierra Leone': 2, 'United States': 2, 'America': 12}"
"AS Monaco","{'Andorra': 4, 'Argentina': 2, 'Brazil': 4, 'Congo': 3, 'Colombia': 2, 'Spain': 2, 'France': 92, 'Jordan': 2, 'Liechtenstein': 4, 'Monaco': 382, 'Niger': 2, 'Nigeria': 2, 'San Marino': 4, 'Russia': 15}"
"Schumachers","{}"
"FC Barcelona Atlètic","{'Albania': 4, 'Andorra': 12, 'Argentina': 8, 'Bosnia and Herzegovina': 2, 'Brazil': 4, 'Canada': 3, 'China': 2, 'Cameroon': 8, 'Congo': 2, 'Cuba': 2, 'Cyprus': 2, 'Ecuador': 2, 'Spain': 288, 'France': 6, 'Guinea': 4, 'Gambia': 2, 'Honduras': 2, 'Croatia': 4, 'Hungary': 3, 'India': 2, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Italy': 2, 'Jordan': 2, 'Japan': 3, 'Korea, Republic of': 2, 'Morocco': 6, 'Mexico': 8, 'North Macedonia': 2, 'Montenegro': 3, 'Niger': 6, 'Nigeria': 6, 'Netherlands': 2, 'Paraguay': 2, 'Senegal': 4, 'Sierra Leone': 2, 'Serbia': 2, 'Uruguay': 2, 'United States': 3, 'Venezuela, Bolivarian Republic of': 2, 'Scotland': 3, 'America': 6, 'South Korea': 6, 'Russia': 3}"
"Esporte Clube Taubaté","{'Brazil': 12, 'America': 3}"
"Parma AC","{'Albania': 6, 'China': 4, 'Cyprus': 2, 'France': 8, 'India': 2, 'Italy': 62, 'Oman': 2, 'America': 6}"
"Bergantiños B","{}"
"Carpi FC 1909","{'Hungary': 3, 'Italy': 22}"
"Heracles Almelo","{'Burundi': 2, 'Belgium': 2, 'Germany': 6, 'Hungary': 3, 'Netherlands': 72, 'Sweden': 2, 'United States': 2, 'England': 33, 'Scotland': 3, 'America': 3, 'Turkey': 3}"
"Wigan Athletic F.C.","{'Bahrain': 2, 'Germany': 2, 'Egypt': 2, 'Spain': 4, 'France': 4, 'United Kingdom': 4, 'Hong Kong': 6, 'Ireland': 15, 'Jordan': 4, 'England': 123, 'Scotland': 30, 'Northern Ireland': 9}"
"CSD Municipal","{'Argentina': 46, 'Armenia': 4, 'Brazil': 2, 'Chile': 6, 'Costa Rica': 16, 'Cuba': 12, 'Czechia': 1, 'Ecuador': 2, 'Spain': 2, 'Grenada': 3, 'Guatemala': 142, 'Guam': 3, 'Honduras': 4, 'Hungary': 3, 'Mexico': 8, 'Panama': 6, 'Peru': 2, 'Portugal': 2, 'Paraguay': 14, 'El Salvador': 8, 'Uruguay': 28, 'America': 15}"
"A.C. Milan","{'Austria': 2, 'Brazil': 2, 'Switzerland': 2, 'Colombia': 6, 'Germany': 4, 'Egypt': 2, 'Spain': 2, 'France': 6, 'Iran, Islamic Republic of': 4, 'Italy': 54, 'Jersey': 15, 'Luxembourg': 6, 'Mali': 2, 'Netherlands': 2, 'Oman': 2, 'Peru': 14, 'Romania': 3, 'Sweden': 6, 'United States': 2, 'America': 9, 'Russia': 3}"
"Sanfrecce Hiroshima","{'Brazil': 2, 'Germany': 4, 'Iran, Islamic Republic of': 1, 'Japan': 201, 'Sweden': 2, 'Thailand': 2, 'England': 3, 'Scotland': 3}"
"Deportes Iquique","{'Argentina': 4, 'Bolivia, Plurinational State of': 1, 'Chile': 164, 'Peru': 2, 'Uruguay': 6, 'America': 54}"
"Newport County A.F.C.","{'Argentina': 2, 'Germany': 2, 'United Kingdom': 8, 'Ireland': 6, 'Norway': 2, 'England': 15, 'Scotland': 3, 'Wales': 228, 'Northern Ireland': 6, 'America': 6}"
"SC Freiburg","{'Albania': 2, 'Argentina': 2, 'Austria': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 4, 'Switzerland': 2, 'Cameroon': 2, 'Congo': 2, 'Costa Rica': 2, 'Germany': 120, 'Denmark': 2, 'Georgia': 6, 'Croatia': 4, 'Iran, Islamic Republic of': 2, 'Jersey': 3, 'Lebanon': 4, 'Mali': 4, 'Netherlands': 2, 'Senegal': 4, 'Slovenia': 4, 'Tunisia': 6, 'Yugoslavia': 3, 'Turkey': 3, 'Russia': 18}"
"ACB Lagos","{'Niger': 14, 'Nigeria': 14}"
"Montpellier","{'Australia': 3, 'Belgium': 2, 'Brazil': 2, 'Canada': 6, 'China': 2, 'Germany': 2, 'Dominica': 8, 'Algeria': 10, 'Spain': 4, 'France': 132, 'Greece': 2, 'Ireland': 3, 'Israel': 2, 'Italy': 2, 'Morocco': 4, 'Oman': 4, 'Poland': 2, 'United States': 4, 'South Africa': 2, 'England': 3, 'Scotland': 3, 'Wales': 3, 'America': 12, 'Russia': 3}"
"Rot-Weiß Oberhausen","{'Germany': 16, 'Hungary': 3, 'Kazakhstan': 4, 'Norway': 2, 'Serbia': 2, 'Yugoslavia': 3, 'Turkey': 3, 'Russia': 3}"
"Porongos (:es:Centro Recreativo Porongos Fútbol Club","{}"
"Persma Manado","{'Indonesia': 14}"
"C.A. Bella Vista","{'Argentina': 4, 'Bolivia, Plurinational State of': 1, 'Brazil': 4, 'Chile': 6, 'Colombia': 2, 'Ecuador': 2, 'Spain': 2, 'Jersey': 12, 'Mexico': 2, 'Uruguay': 72, 'Venezuela, Bolivarian Republic of': 2, 'America': 9}"
"Saltillo Soccer","{'Mexico': 6, 'Sierra Leone': 2}"
"Näsvikens IK","{'Sweden': 8}"
"Sport Tallinn","{'Austria': 6, 'Estonia': 148, 'Finland': 2, 'Russia': 3}"
"MKE Ankaragücü","{'Oman': 2, 'Turkey': 24}"
"FAR Rabat","{'Argentina': 2, 'Belgium': 10, 'Bulgaria': 2, 'Brazil': 6, 'Botswana': 2, 'Cameroon': 2, 'Congo': 3, 'Germany': 2, 'Algeria': 4, 'Egypt': 4, 'Spain': 16, 'France': 12, 'Gibraltar': 6, 'Italy': 2, 'Korea, Republic of': 1, 'Morocco': 222, 'Mozambique': 2, 'Niger': 6, 'Nigeria': 6, 'Oman': 2, 'Portugal': 8, 'Romania': 3, 'Rwanda': 2, 'Chad': 4, 'Togo': 2, 'Tunisia': 4, 'Yugoslavia': 3, 'South Korea': 3, 'Russia': 3}"
"Palmeiras","{'United Arab Emirates': 3, 'Argentina': 10, 'Antarctica': 3, 'Austria': 6, 'Brazil': 230, 'China': 6, 'Colombia': 6, 'Germany': 2, 'Spain': 2, 'France': 4, 'Greece': 2, 'Italy': 12, 'Jersey': 24, 'Japan': 6, 'Mexico': 4, 'Mali': 4, 'Oman': 4, 'Portugal': 4, 'Paraguay': 4, 'Qatar': 6, 'Uruguay': 16, 'United States': 2, 'Viet Nam': 1, 'England': 3, 'America': 69, 'Yugoslavia': 3, 'Russia': 6}"
"FC Vilnius","{'Lithuania': 20, 'Poland': 2}"
"VfL Benrath","{'Germany': 6}"
"Winsford United F.C.","{'United Kingdom': 2, 'Iran, Islamic Republic of': 1, 'Jordan': 2, 'England': 81, 'Wales': 6}"
"AC Ajaccio","{'France': 22, 'Jordan': 2, 'Monaco': 2}"
"Bolton Wanderers","{'Egypt': 6, 'United Kingdom': 4, 'Guinea': 2, 'Iraq': 2, 'Italy': 2, 'England': 33}"
"CS La Forestoise","{'Belgium': 20, 'Slovakia': 2}"
"FC Spartak Moscow","{'Argentina': 12, 'Armenia': 6, 'Azerbaijan': 6, 'Belarus': 14, 'Brazil': 24, 'Switzerland': 2, 'Cameroon': 2, 'Congo': 2, 'Costa Rica': 2, 'Czechia': 4, 'Denmark': 6, 'Spain': 10, 'Estonia': 2, 'Georgia': 18, 'Ghana': 6, 'Croatia': 10, 'Ireland': 3, 'Italy': 6, 'Jamaica': 6, 'Jordan': 4, 'Liberia': 2, 'Lithuania': 4, 'Latvia': 12, 'Morocco': 2, 'Monaco': 4, 'Moldova, Republic of': 3, 'Mali': 2, 'Montenegro': 15, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 8, 'Oman': 120, 'Poland': 6, 'Portugal': 2, 'Paraguay': 6, 'Qatar': 4, 'Romania': 9, 'Senegal': 4, 'Serbia': 18, 'Slovakia': 3, 'Slovenia': 2, 'Sweden': 4, 'Tajikistan': 4, 'Ukraine': 60, 'Uzbekistan': 6, 'Zambia': 2, 'America': 3, 'Russia': 807}"
"West Adelaide SC","{'Australia': 174, 'Greece': 2, 'Ireland': 3, 'New Zealand': 6, 'England': 3, 'Wales': 3, 'Northern Ireland': 3}"
"Newcastle United F.C.","{'Azerbaijan': 2, 'France': 4, 'United Kingdom': 2, 'Hungary': 3, 'Ireland': 6, 'Qatar': 2, 'Saudi Arabia': 37, 'Ukraine': 3, 'England': 93}"
"Rotherham United F.C.","{'United Kingdom': 2, 'Ireland': 6, 'Iceland': 4, 'Jordan': 2, 'Uruguay': 2, 'England': 105, 'Scotland': 30, 'Wales': 6, 'Northern Ireland': 6}"
"New Jersey Americans (soccer)","{'Brazil': 2, 'Costa Rica': 2, 'Jersey': 21, 'Poland': 2, 'Portugal': 4, 'El Salvador': 2, 'United States': 2, 'America': 24}"
"Millonarios F.C.","{'Argentina': 62, 'Austria': 2, 'Brazil': 14, 'Chile': 2, 'Colombia': 260, 'Costa Rica': 2, 'Ecuador': 2, 'Spain': 10, 'France': 4, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Italy': 4, 'Montenegro': 6, 'Panama': 4, 'Peru': 10, 'Paraguay': 2, 'Serbia': 4, 'Chad': 2, 'Uruguay': 12, 'Venezuela, Bolivarian Republic of': 8, 'America': 45, 'Yugoslavia': 6}"
"Zamalek SC","{'United Arab Emirates': 3, 'Cameroon': 2, 'Algeria': 2, 'Egypt': 680, 'Spain': 2, 'Ghana': 4, 'Italy': 2, 'Jersey': 3, 'Morocco': 2, 'Mali': 4, 'Niger': 8, 'Nigeria': 8, 'Sudan': 6, 'Tunisia': 4, 'Yemen': 2, 'England': 6, 'America': 3}"
"SD Eibar","{'Argentina': 2, 'Belgium': 2, 'Chile': 2, 'Colombia': 2, 'Spain': 114, 'Ghana': 2, 'India': 4, 'Italy': 2, 'Japan': 3, 'Malaysia': 3, 'Peru': 4, 'Portugal': 8, 'Senegal': 2, 'Serbia': 4, 'Uruguay': 2, 'Scotland': 15, 'Russia': 3}"
"Deportivo Pereira","{'Brazil': 2, 'Chile': 2, 'Colombia': 148, 'Ecuador': 6, 'Iran, Islamic Republic of': 3, 'Peru': 2, 'Paraguay': 10, 'Uruguay': 4, 'Venezuela, Bolivarian Republic of': 1}"
"SK Plzeň","{}"
"Calcio Catania","{'Australia': 3, 'Brazil': 2, 'France': 12, 'Italy': 16, 'Monaco': 2, 'Mali': 2, 'United States': 2, 'America': 3}"
"Centro Atlético Fénix","{'Argentina': 4, 'India': 8, 'Chad': 2, 'Uruguay': 58, 'America': 3}"
"GBS Football Academy","{}"
"Tottenham Hotspur F.C.","{'Argentina': 4, 'Brazil': 12, 'Canada': 9, 'Switzerland': 2, 'China': 4, 'Germany': 4, 'France': 2, 'United Kingdom': 6, 'Hong Kong': 2, 'India': 16, 'Ireland': 9, 'Israel': 4, 'Jersey': 24, 'Korea, Republic of': 1, 'Oman': 4, 'South Africa': 6, 'England': 168, 'Scotland': 18, 'Wales': 15, 'Northern Ireland': 6, 'South Korea': 3}"
"FC Lokomotiv 1929 Sofia","{'Austria': 2, 'Benin': 2, 'Bulgaria': 458, 'Brazil': 2, 'Switzerland': 2, 'Germany': 4, 'Denmark': 2, 'Spain': 2, 'France': 2, 'Ghana': 2, 'Guinea': 2, 'Gambia': 2, 'Hungary': 3, 'Monaco': 4, 'Mali': 2, 'Malta': 4, 'Montenegro': 3, 'Mozambique': 2, 'Oman': 4, 'Romania': 3, 'Serbia': 8, 'Sweden': 2, 'Chad': 2, 'Tunisia': 4, 'Samoa': 2, 'South Africa': 2, 'America': 3, 'Yugoslavia': 3}"
"Al-Gharafa Sports Club","{'United Arab Emirates': 12, 'Australia': 6, 'Bahrain': 8, 'Brazil': 12, 'Costa Rica': 4, 'Egypt': 8, 'France': 4, 'Iran, Islamic Republic of': 4, 'Iraq': 8, 'Jordan': 2, 'Kuwait': 8, 'Morocco': 4, 'Mexico': 4, 'Netherlands': 4, 'Oman': 4, 'Portugal': 2, 'Qatar': 188, 'Saudi Arabia': 12, 'Sudan': 2, 'Slovakia': 4, 'Syrian Arab Republic': 1, 'Uzbekistan': 2}"
"CD Numancia","{'Spain': 108, 'Croatia': 4}"
"Real Unión","{'Switzerland': 2, 'Chile': 2, 'Denmark': 6, 'Spain': 44, 'France': 10, 'Iran, Islamic Republic of': 2, 'Mexico': 2, 'Mali': 2, 'Peru': 2, 'England': 9}"
"FSV Frankfurt","{'Germany': 18, 'Iran, Islamic Republic of': 2, 'Mali': 4, 'Chad': 2}"
"Prévoyance Yaoundé","{}"
"California Surf","{'Canada': 3, 'United States': 2, 'England': 9, 'America': 99}"
"RC Strasbourg Alsace","{'Armenia': 2, 'Austria': 6, 'Switzerland': 2, 'Germany': 10, 'Spain': 6, 'France': 132, 'India': 6, 'Italy': 2, 'Jersey': 15, 'Luxembourg': 4, 'Monaco': 6, 'Mali': 4, 'Netherlands': 4, 'Paraguay': 8, 'Chad': 4, 'America': 6, 'Yugoslavia': 6, 'Russia': 3}"
"Charlotte Independence","{'America': 36}"
"Shanghai Port F.C.","{'Brazil': 2, 'China': 84, 'Ghana': 2, 'Greenland': 6, 'Haiti': 2, 'Thailand': 2, 'Samoa': 2}"
"Esporte Clube Poções","{'Brazil': 10}"
"Amica Wronki","{'Denmark': 2, 'Latvia': 4, 'Moldova, Republic of': 1, 'Malta': 2, 'Poland': 36}"
"Besançon RC","{'France': 8, 'Guinea': 2}"
"PAS Lamia 1964","{'Greece': 66, 'Lao People\'s Democratic Republic': 1}"
":fr:Union sportive de Lège-Cap-Ferret","{}"
"APIA Leichhardt Tigers FC","{'Australia': 144, 'Germany': 2, 'Jordan': 10, 'Wales': 12}"
"SPAL","{'Argentina': 4, 'Switzerland': 2, 'Czechia': 2, 'Spain': 4, 'France': 24, 'Hungary': 18, 'Italy': 386, 'Jersey': 6, 'Mexico': 2, 'Oman': 6, 'San Marino': 2, 'United States': 2, 'America': 9}"
"Zafririm Holon","{'Iran, Islamic Republic of': 1, 'Israel': 42}"
"Ipswich Town F.C.","{'Germany': 4, 'United Kingdom': 4, 'Croatia': 4, 'Ireland': 6, 'Iraq': 6, 'Jordan': 2, 'Japan': 3, 'England': 78, 'Northern Ireland': 6}"
"ES Sétif","{'Switzerland': 6, 'Congo': 5, 'Algeria': 124, 'Egypt': 4, 'France': 8, 'Italy': 4, 'Mali': 18, 'Niger': 4, 'Nigeria': 4, 'Qatar': 4, 'Tunisia': 2}"
"Getafe CF","{'Argentina': 2, 'Australia': 3, 'Czechia': 1, 'Denmark': 2, 'Spain': 30, 'Finland': 2, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Mexico': 2, 'Oman': 2, 'Sweden': 2, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'Scotland': 3}"
"Girondins de Bordeaux","{'Argentina': 4, 'Germany': 2, 'Spain': 2, 'France': 112, 'Gabon': 2, 'Morocco': 4, 'Monaco': 4, 'Mali': 4, 'Netherlands': 4, 'Oman': 2, 'Portugal': 2, 'Romania': 3, 'Thailand': 2, 'America': 9, 'Yugoslavia': 3, 'Russia': 3}"
"BK Häcken","{'Azerbaijan': 2, 'Switzerland': 2, 'Czechia': 1, 'Germany': 4, 'Finland': 2, 'Faroe Islands': 3, 'Ghana': 2, 'Ireland': 3, 'Iceland': 2, 'Liberia': 2, 'Lithuania': 2, 'Luxembourg': 2, 'Latvia': 2, 'Netherlands': 2, 'Norway': 2, 'Portugal': 2, 'Sweden': 4, 'Scotland': 9, 'Wales': 3, 'Russia': 3}"
"Club Atlético Sarmiento (Junín)","{'Argentina': 8}"
"Real Club España","{'Mexico': 32, 'Oman': 2}"
"Tempête de Nanga-Eboko","{}"
"Győri ETO FC","{'Bulgaria': 6, 'Spain': 4, 'Hungary': 69, 'Russia': 6}"
"Club Atlético San Isidro","{'Argentina': 48, 'Jersey': 6, 'Oman': 2, 'Uruguay': 2}"
"Whitby Town F.C.","{'Ireland': 3, 'England': 63, 'Northern Ireland': 3}"
"FC Tirol Innsbruck","{'Austria': 92, 'Czechia': 3, 'Germany': 8}"
"San Diego Sockers (NASL)","{'Canada': 3, 'Ireland': 3, 'Jersey': 3, 'United States': 4, 'England': 3, 'Northern Ireland': 3, 'America': 81}"
"Curry Silver Tops","{}"
"Køge BK","{'Denmark': 8}"
"A.S.D. Junior Biellese Libertas","{'Italy': 8}"
"Al-Qadsiah FC","{'United Arab Emirates': 3, 'Bahrain': 4, 'China': 12, 'Algeria': 2, 'Hong Kong': 2, 'Iraq': 2, 'Morocco': 2, 'Qatar': 4, 'Saudi Arabia': 30, 'Sudan': 4}"
"US Foggia","{'Benin': 6, 'China': 4, 'France': 6, 'Italy': 28, 'Oman': 14, 'Wales': 6, 'Russia': 3}"
"Glenavon F.C.","{'Belgium': 2, 'Belarus': 2, 'Germany': 4, 'Denmark': 6, 'Finland': 2, 'France': 2, 'Ireland': 210, 'Iceland': 6, 'Luxembourg': 2, 'Malta': 4, 'Netherlands': 2, 'Norway': 2, 'England': 3, 'Scotland': 6, 'Northern Ireland': 186}"
"Parramatta Power","{'Australia': 15}"
"Sporting Cristal","{'Argentina': 30, 'Brazil': 20, 'Chile': 8, 'Colombia': 4, 'Germany': 2, 'Peru': 230, 'Paraguay': 2, 'Uruguay': 6, 'America': 42}"
"Atlético Junior","{'Argentina': 22, 'Brazil': 18, 'Chile': 6, 'Colombia': 188, 'Czechia': 1, 'Hungary': 6, 'Iran, Islamic Republic of': 4, 'Panama': 2, 'Peru': 6, 'Uruguay': 16, 'Venezuela, Bolivarian Republic of': 1, 'England': 3, 'America': 21}"
"FC Differdange 03","{'Cyprus': 2, 'France': 4, 'Luxembourg': 58, 'Portugal': 2, 'Serbia': 2, 'Slovakia': 2}"
"Club Universidad Nacional","{'Argentina': 12, 'Brazil': 10, 'Chile': 2, 'Costa Rica': 2, 'Spain': 4, 'Honduras': 2, 'Hungary': 9, 'Israel': 8, 'Mexico': 100, 'Peru': 4, 'Portugal': 4, 'El Salvador': 2, 'Serbia': 2, 'Trinidad and Tobago': 2, 'America': 33, 'Yugoslavia': 3}"
"Konyaspor","{'Austria': 2, 'Belarus': 2, 'France': 2, 'India': 2, 'Netherlands': 4, 'Oman': 2, 'Portugal': 2, 'Turkey': 21}"
"FC Saturn Moscow Oblast (1946-2011)","{'Argentina': 4, 'Armenia': 4, 'Bosnia and Herzegovina': 12, 'Belarus': 6, 'Cameroon': 2, 'Costa Rica': 2, 'Czechia': 2, 'Finland': 4, 'Georgia': 3, 'Ghana': 6, 'Kazakhstan': 2, 'Lithuania': 6, 'Moldova, Republic of': 6, 'Montenegro': 6, 'Niger': 2, 'Nigeria': 2, 'Oman': 6, 'Peru': 2, 'Paraguay': 2, 'Serbia': 2, 'Slovakia': 12, 'Tajikistan': 6, 'Ukraine': 18, 'Uruguay': 4, 'Uzbekistan': 2, 'America': 6, 'Russia': 183}"
"AC Sparta Prague B","{}"
"FC Mendrisio-Stabio","{'Switzerland': 8}"
"América de Cali","{'Argentina': 16, 'Bolivia, Plurinational State of': 1, 'Brazil': 4, 'Chile': 4, 'Colombia': 250, 'Ecuador': 2, 'Spain': 2, 'Iran, Islamic Republic of': 3, 'Italy': 2, 'Jersey': 9, 'Mali': 2, 'Peru': 6, 'Paraguay': 14, 'Chad': 6, 'Uruguay': 4, 'United States': 4, 'Venezuela, Bolivarian Republic of': 5, 'America': 1578}"
"Tampa Bay Rowdies","{'Jersey': 6, 'Jordan': 4, 'Oman': 2, 'Portugal': 10, 'United States': 2, 'South Africa': 2, 'England': 6, 'America': 84}"
"Augnablik Kópavogur","{'Iceland': 24}"
"Ferar Cluj","{'Hungary': 12, 'Oman': 34, 'Romania': 51}"
"Gazélec Ajaccio","{'France': 34, 'Mali': 4}"
"FC La Chaux-de-Fonds","{'Switzerland': 12}"
"Don Bosco FC","{'Haiti': 90, 'Puerto Rico': 3}"
"Ebolitana 1925","{'Brazil': 2, 'Italy': 10}"
"Dinamo Zagreb","{'Albania': 2, 'Australia': 3, 'Austria': 4, 'Bosnia and Herzegovina': 2, 'Switzerland': 2, 'Cyprus': 2, 'Germany': 2, 'Spain': 6, 'Estonia': 2, 'Greece': 2, 'Croatia': 326, 'Hungary': 18, 'Italy': 2, 'North Macedonia': 2, 'Mali': 2, 'Montenegro': 3, 'Netherlands': 2, 'Oman': 6, 'Peru': 10, 'Portugal': 4, 'Romania': 3, 'Serbia': 4, 'Slovakia': 8, 'Slovenia': 8, 'England': 9, 'Scotland': 3, 'Yugoslavia': 135}"
"C.F. Pachuca","{'Argentina': 14, 'Brazil': 2, 'Chile': 6, 'Colombia': 2, 'Ecuador': 2, 'United Kingdom': 2, 'Israel': 4, 'Jersey': 9, 'Mexico': 42, 'Puerto Rico': 3, 'Paraguay': 4, 'Tunisia': 2, 'United States': 4, 'Venezuela, Bolivarian Republic of': 1, 'America': 84}"
"Nacional Montevideo","{'Argentina': 28, 'Austria': 2, 'Belgium': 4, 'Bolivia, Plurinational State of': 1, 'Brazil': 14, 'Switzerland': 2, 'Chile': 2, 'Colombia': 8, 'Spain': 2, 'France': 2, 'Greece': 2, 'Honduras': 2, 'Hungary': 3, 'Italy': 2, 'Jersey': 12, 'Mexico': 2, 'Netherlands': 2, 'Oman': 6, 'Peru': 2, 'Portugal': 2, 'Paraguay': 14, 'Chad': 6, 'Uruguay': 574, 'United States': 6, 'Venezuela, Bolivarian Republic of': 2, 'England': 3, 'Scotland': 3, 'America': 129}"
"Limón F.C.","{'Costa Rica': 26, 'America': 6}"
"FC Lorient","{'Argentina': 2, 'Australia': 3, 'France': 30, 'Mali': 6, 'Slovakia': 2, 'Turkey': 3}"
"Asociacion Deportiva Limonense","{'Costa Rica': 22}"
"C.D. Atlético Yucatán","{'Argentina': 8, 'Iran, Islamic Republic of': 2, 'Mexico': 28, 'El Salvador': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 1}"
"Sloga Belgrade","{}"
"Esteghlal F.C.","{'China': 2, 'Germany': 2, 'Spain': 4, 'India': 20, 'Iran, Islamic Republic of': 120, 'Israel': 6, 'Japan': 3, 'Korea, Republic of': 1, 'Portugal': 2, 'Qatar': 6, 'Saudi Arabia': 4, 'Singapore': 2, 'Turkmenistan': 3, 'South Korea': 3, 'Turkey': 3}"
"Råå IF","{'Sweden': 12}"
"Granada CF","{'Argentina': 6, 'Brazil': 2, 'China': 2, 'Spain': 110, 'France': 2, 'Hungary': 12, 'Portugal': 2, 'Paraguay': 2, 'Serbia': 2, 'Uruguay': 2, 'England': 3}"
"Pyramids FC","{'United Arab Emirates': 3, 'Congo': 4, 'Egypt': 120, 'Croatia': 2, 'Morocco': 2, 'Togo': 2, 'South Africa': 2}"
"FK Ústí nad Labem","{'Czechia': 6, 'Slovakia': 2}"
"S. du Pays de Charleroi","{'Austria': 4, 'Belgium': 56, 'Germany': 8, 'Denmark': 2, 'Finland': 2, 'France': 4, 'Croatia': 12, 'Hungary': 9, 'Israel': 4, 'Morocco': 4, 'Netherlands': 2, 'Oman': 2, 'Peru': 10, 'Poland': 4, 'Romania': 3, 'Serbia': 2, 'Slovakia': 4, 'Ukraine': 3, 'England': 15, 'Scotland': 6, 'Wales': 3, 'Turkey': 3}"
"Lancaster City F.C.","{'United Kingdom': 2, 'Mali': 6, 'England': 12}"
"Oriente Petrolero","{'Argentina': 14, 'Bolivia, Plurinational State of': 45, 'Chile': 4, 'Colombia': 2, 'Peru': 12, 'Uruguay': 2, 'America': 42}"
"Taksim SK","{'Armenia': 8, 'Turkey': 21}"
"HAŠK Zagreb","{'Croatia': 36, 'Hungary': 3, 'Montenegro': 3, 'Serbia': 2, 'Slovakia': 2, 'Yugoslavia': 24}"
"Atlante F.C.","{'United Arab Emirates': 3, 'Argentina': 28, 'Brazil': 6, 'Chile': 4, 'China': 2, 'Colombia': 2, 'Costa Rica': 6, 'Ecuador': 2, 'Spain': 4, 'France': 6, 'Hungary': 9, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Jersey': 3, 'Mexico': 100, 'Peru': 2, 'El Salvador': 2, 'Suriname': 4, 'Uruguay': 12, 'United States': 2, 'Venezuela, Bolivarian Republic of': 2, 'England': 6, 'America': 24}"
"FK Radnički Niš","{'Albania': 2, 'Bulgaria': 2, 'Germany': 4, 'Greece': 4, 'Croatia': 4, 'Israel': 2, 'Jersey': 3, 'Montenegro': 42, 'Oman': 6, 'Romania': 3, 'Serbia': 216, 'Slovenia': 8, 'Scotland': 3, 'Yugoslavia': 147, 'Turkey': 3}"
"VfB Stuttgart","{'Austria': 2, 'Bulgaria': 21, 'Brazil': 2, 'Switzerland': 2, 'Germany': 128, 'Ecuador': 4, 'Croatia': 2, 'Hungary': 6, 'Italy': 2, 'Niger': 4, 'Netherlands': 8, 'Oman': 6, 'Portugal': 8, 'Romania': 6, 'Slovakia': 12, 'England': 9, 'Yugoslavia': 21, 'Turkey': 3, 'Russia': 15}"
"S.C. Campomaiorense","{'Angola': 4, 'Bulgaria': 2, 'Brazil': 4, 'Iran, Islamic Republic of': 2, 'North Macedonia': 2, 'Netherlands': 2, 'Portugal': 50}"
"U.S. Pro Vercelli Calcio","{'France': 6, 'Italy': 14}"
"Oldham Athletic A.F.C.","{'Australia': 3, 'Jordan': 2, 'Mali': 2, 'Norway': 4, 'Chad': 8, 'England': 27}"
"OGC Nice","{'Argentina': 8, 'Austria': 2, 'Brazil': 4, 'China': 4, 'Colombia': 4, 'Spain': 6, 'France': 120, 'Haiti': 4, 'Israel': 2, 'Italy': 4, 'Jordan': 2, 'Luxembourg': 4, 'Monaco': 2, 'Mali': 8, 'Portugal': 4, 'Senegal': 4, 'Serbia': 4, 'Sweden': 4, 'America': 3, 'Yugoslavia': 18}"
"Fulham F.C.","{'Austria': 4, 'Belgium': 2, 'Bulgaria': 2, 'Brazil': 2, 'Canada': 12, 'Egypt': 4, 'France': 4, 'Faroe Islands': 3, 'United Kingdom': 2, 'Ireland': 12, 'Netherlands': 2, 'Norway': 2, 'Oman': 2, 'Senegal': 2, 'Serbia': 2, 'United States': 2, 'South Africa': 6, 'England': 63, 'Wales': 3, 'Northern Ireland': 9, 'America': 3, 'Russia': 3}"
"L.R. Vicenza Virtus","{'Austria': 2, 'Brazil': 4, 'Germany': 2, 'Denmark': 2, 'France': 10, 'Hungary': 12, 'Italy': 128, 'Jersey': 6, 'Luxembourg': 2, 'Mali': 6, 'Oman': 2}"
"Excelsior Mouscron","{'Belgium': 12, 'Peru': 2}"
"Willem II (football club)","{'Albania': 4, 'Armenia': 6, 'Austria': 6, 'Belgium': 14, 'Burkina Faso': 6, 'Bulgaria': 4, 'Switzerland': 4, 'Czechia': 2, 'Denmark': 4, 'Finland': 16, 'Georgia': 3, 'Guinea': 4, 'Gambia': 4, 'Hungary': 9, 'Ireland': 6, 'Israel': 4, 'Luxembourg': 4, 'Morocco': 12, 'Monaco': 4, 'Montenegro': 3, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 144, 'New Zealand': 6, 'Oman': 2, 'Peru': 4, 'Sierra Leone': 4, 'Slovakia': 6, 'Sweden': 8, 'Thailand': 4, 'Ukraine': 6, 'United States': 4, 'Scotland': 3, 'Northern Ireland': 6}"
"S.S.D. Parma Calcio 1913","{'Albania': 6, 'China': 4, 'Cyprus': 2, 'France': 8, 'India': 2, 'Italy': 62, 'Oman': 2, 'America': 6}"
"Elche CF Ilicitano","{'Spain': 8, 'England': 3}"
