"NK TOŠK Tešanj","{'Bosnia and Herzegovina': 44}"
"New York Cosmos (1971-85)","{'Argentina': 2, 'Australia': 57, 'Bermuda': 6, 'Brazil': 38, 'Canada': 12, 'China': 44, 'Germany': 10, 'United Kingdom': 2, 'Greece': 14, 'Hong Kong': 18, 'Indonesia': 20, 'Italy': 24, 'Jersey': 75, 'Japan': 30, 'Korea, Republic of': 23, 'Lithuania': 2, 'Malaysia': 12, 'Netherlands': 2, 'Peru': 2, 'Singapore': 12, 'United States': 30, 'South Africa': 4, 'England': 6, 'Scotland': 3, 'America': 240, 'Yugoslavia': 9, 'South Korea': 69, 'Turkey': 3}"
"Joinville Esporte Clube","{'Brazil': 52, 'Iran, Islamic Republic of': 1, 'Chad': 2, 'Uruguay': 2, 'America': 18}"
"União Paulista","{'Brazil': 28}"
"Steamfitters","{}"
"Club Santos Laguna","{'Argentina': 34, 'Brazil': 16, 'Chile': 12, 'Colombia': 4, 'Ecuador': 6, 'Spain': 4, 'Honduras': 2, 'Iran, Islamic Republic of': 2, 'Jordan': 2, 'Mexico': 188, 'Oman': 6, 'Panama': 4, 'Portugal': 4, 'El Salvador': 2, 'Uruguay': 12, 'United States': 4, 'Venezuela, Bolivarian Republic of': 2, 'America': 15}"
"Club Social y Deportivo Colo-Colo","{'Argentina': 2, 'Brazil': 6, 'Chile': 392, 'Croatia': 2, 'Mexico': 4, 'Peru': 6, 'Paraguay': 2, 'Uruguay': 4, 'Venezuela, Bolivarian Republic of': 3, 'America': 99, 'Yugoslavia': 3}"
"Dorados de Sinaloa","{'Argentina': 20, 'Brazil': 6, 'Chile': 2, 'Colombia': 6, 'Costa Rica': 4, 'Ecuador': 12, 'Spain': 4, 'Mexico': 102, 'Panama': 2, 'Uruguay': 12, 'United States': 4}"
"Pisa SC","{'Argentina': 6, 'Belarus': 2, 'Brazil': 2, 'Denmark': 4, 'France': 2, 'Italy': 44, 'Netherlands': 2, 'England': 3}"
"FC CFR Timișoara","{'Oman': 54, 'Romania': 81}"
"ASEC Mimosas","{'Argentina': 2, 'Belgium': 2, 'Burkina Faso': 6, 'Switzerland': 4, 'France': 16, 'Ghana': 4, 'Lebanon': 2, 'Madagascar': 4, 'Mali': 4, 'Oman': 2, 'England': 3}"
"S.C. Beira-Mar","{'Australia': 3, 'Belgium': 2, 'Brazil': 8, 'Canada': 3, 'Cyprus': 2, 'Czechia': 1, 'Egypt': 2, 'Spain': 2, 'Guinea': 2, 'Equatorial Guinea': 2, 'Ireland': 3, 'Mali': 2, 'Montenegro': 6, 'Malaysia': 3, 'Portugal': 92, 'Paraguay': 2, 'Senegal': 2, 'Slovakia': 2, 'Sweden': 2, 'South Africa': 2, 'England': 3, 'Wales': 3}"
"Carmen București{{ref","{}"
"Atlético Rio Negro Clube","{'Brazil': 14}"
"Qatar SC","{'Bosnia and Herzegovina': 4, 'Iran, Islamic Republic of': 1, 'Qatar': 194, 'Slovakia': 6}"
"Tennis Borussia Berlin","{'Germany': 14}"
"New York City FC","{'Australia': 6, 'Austria': 6, 'Brazil': 12, 'Costa Rica': 2, 'Spain': 2, 'Finland': 2, 'France': 2, 'Ghana': 2, 'Iceland': 2, 'Jersey': 69, 'Japan': 3, 'Oman': 6, 'Paraguay': 4, 'Romania': 9, 'Sweden': 2, 'Uruguay': 6, 'United States': 10, 'England': 33, 'Scotland': 3, 'America': 39}"
"Brookhattan","{'Spain': 4, 'Honduras': 8, 'America': 63}"
"Spezia Calcio","{'Australia': 3, 'France': 6, 'Croatia': 2, 'India': 6, 'Italy': 36, 'Jersey': 6, 'Malta': 2, 'Niger': 2, 'Nigeria': 2, 'America': 3}"
"AS Roma","{'Albania': 2, 'Argentina': 14, 'Bosnia and Herzegovina': 2, 'Czechia': 2, 'Germany': 2, 'Spain': 6, 'France': 70, 'Greece': 4, 'Hungary': 18, 'Iran, Islamic Republic of': 1, 'Italy': 210, 'Oman': 42, 'Portugal': 6, 'Qatar': 8, 'Sweden': 12, 'Uruguay': 2, 'United States': 4, 'England': 18, 'America': 15, 'Yugoslavia': 3}"
"Jasper United","{'Niger': 18, 'Nigeria': 18}"
"1. FC Schweinfurt 05","{'Chile': 6, 'Germany': 180, 'Denmark': 4, 'France': 2, 'Hungary': 12, 'Mali': 4, 'Serbia': 2, 'England': 15, 'America': 3}"
"Ravan Baku FK","{'Azerbaijan': 72}"
"Juventus F.C.","{'Argentina': 2, 'Australia': 3, 'Austria': 2, 'Canada': 3, 'Switzerland': 2, 'Spain': 4, 'France': 14, 'Greece': 2, 'Hong Kong': 2, 'Ireland': 3, 'Italy': 140, 'Jersey': 21, 'Japan': 6, 'Monaco': 4, 'Malta': 2, 'Norway': 4, 'Oman': 8, 'Peru': 8, 'Saudi Arabia': 2, 'Slovakia': 2, 'United States': 2, 'England': 3, 'Scotland': 3, 'America': 3, 'Yugoslavia': 3}"
"FC Rot-Weiß Erfurt","{'Germany': 18}"
"Miami Americans","{'Jersey': 6, 'United States': 2, 'America': 48}"
"Jabaquara Atlético Clube","{'Brazil': 16}"
"FC Tom Tomsk","{'Armenia': 4, 'Bosnia and Herzegovina': 4, 'Belarus': 30, 'Canada': 3, 'Czechia': 2, 'Croatia': 2, 'Jersey': 3, 'Lithuania': 4, 'Moldova, Republic of': 6, 'Montenegro': 6, 'Oman': 10, 'Peru': 4, 'Romania': 15, 'Serbia': 4, 'Togo': 2, 'Ukraine': 12}"
"Adelaide Raiders SC","{'Australia': 150, 'Croatia': 82}"
"Al-Zawraa","{'Iraq': 280, 'Japan': 3}"
"AC Mantova","{'Brazil': 2, 'France': 4, 'Italy': 12}"
"African Wanderers","{'South Africa': 12, 'America': 3}"
"SK Rakovník","{'Austria': 2, 'Czechia': 3, 'Hungary': 3}"
"C.D. Nacional","{'Austria': 12, 'Belarus': 2, 'Brazil': 12, 'Spain': 2, 'Mali': 8, 'Malta': 6, 'Niger': 6, 'Nigeria': 6, 'Oman': 2, 'Portugal': 228, 'Romania': 3, 'Serbia': 10, 'Chad': 52, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 1}"
"Memphis Americans","{'Croatia': 2, 'Serbia': 2, 'United States': 2, 'America': 87}"
"FK Čukarički","{'Germany': 2, 'Croatia': 2, 'Hungary': 6, 'Jersey': 6, 'Luxembourg': 2, 'Latvia': 2, 'Mali': 2, 'Montenegro': 6, 'Serbia': 94, 'Slovakia': 2, 'Yugoslavia': 24}"
"Austria Salzburg","{'Austria': 146, 'Germany': 2, 'Jersey': 12, 'England': 3}"
"FC Salzburg","{'Albania': 2, 'Armenia': 2, 'Austria': 302, 'Azerbaijan': 2, 'Belgium': 12, 'Bulgaria': 2, 'Belarus': 2, 'Switzerland': 4, 'Cyprus': 4, 'Czechia': 1, 'Germany': 42, 'Denmark': 4, 'Spain': 18, 'France': 2, 'Faroe Islands': 3, 'Greece': 4, 'Croatia': 12, 'India': 4, 'Ireland': 9, 'Iran, Islamic Republic of': 1, 'Israel': 10, 'Italy': 24, 'Jersey': 3, 'Lithuania': 4, 'Luxembourg': 4, 'Latvia': 6, 'Moldova, Republic of': 1, 'Malta': 2, 'Netherlands': 14, 'Norway': 2, 'Oman': 6, 'Poland': 2, 'Portugal': 4, 'Romania': 9, 'Slovakia': 2, 'Sweden': 6, 'Ukraine': 6, 'United States': 4, 'England': 12, 'Scotland': 3, 'Yugoslavia': 9, 'Turkey': 6}"
"A.S. Varese 1910","{'Cameroon': 2, 'Italy': 20, 'America': 3}"
"Club 9 de Octubre","{'Ecuador': 28, 'Spain': 2, 'Malta': 2}"
"Toronto City","{'Canada': 15, 'Ireland': 9, 'United States': 2, 'England': 9, 'Scotland': 12, 'Northern Ireland': 9, 'America': 12}"
"Crystal Palace F.C.","{'Brazil': 4, 'United Kingdom': 2, 'Italy': 2, 'Jersey': 3, 'Jordan': 12, 'England': 54, 'Scotland': 3, 'Wales': 3, 'America': 9}"
"Club de Deportes La Serena","{'Argentina': 6, 'Chile': 146, 'Spain': 2, 'America': 6}"
"Olympique de Valence","{'France': 14}"
"Al-Rasheed","{'Brazil': 2, 'Iraq': 150, 'Jordan': 2, 'Kenya': 2, 'Kuwait': 2, 'Morocco': 2}"
"K Beerschot VA","{'Belgium': 4, 'India': 10}"
"Unión de Curtidores","{'Mexico': 4}"
"FC Porrentruy","{}"
"Vigevano Calcio","{'Italy': 10}"
"SG 01 Hoechst","{'Germany': 6}"
"Arminia Bielefeld","{'Austria': 10, 'China': 2, 'Germany': 316, 'Ghana': 2, 'Iran, Islamic Republic of': 6, 'Italy': 4, 'Luxembourg': 6, 'Netherlands': 6, 'Oman': 2, 'Poland': 4, 'Slovakia': 10, 'Yugoslavia': 6}"
"APOEL FC","{'Albania': 2, 'Argentina': 2, 'Armenia': 2, 'Australia': 3, 'Austria': 2, 'Bosnia and Herzegovina': 2, 'Belarus': 2, 'Brazil': 2, 'Colombia': 2, 'Costa Rica': 2, 'Cyprus': 64, 'Czechia': 1, 'Germany': 2, 'Denmark': 2, 'Algeria': 2, 'Egypt': 2, 'France': 4, 'Faroe Islands': 3, 'Ghana': 2, 'Greece': 14, 'Croatia': 2, 'Hungary': 6, 'Ireland': 6, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Italy': 2, 'Jordan': 2, "Lao People's Democratic Republic": 1, 'Morocco': 2, 'North Macedonia': 2, 'Mali': 12, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 2, 'Norway': 4, 'Oman': 4, 'Peru': 2, 'Poland': 2, 'Portugal': 6, 'Paraguay': 2, 'Romania': 3, 'Serbia': 2, 'Slovakia': 2, 'Slovenia': 2, 'Togo': 2, 'Tunisia': 2, 'England': 3, 'Northern Ireland': 3}"
"Sunderland A.F.C.","{'United Kingdom': 2, 'Ghana': 2, 'Ireland': 12, 'Italy': 2, 'Jordan': 16, "Korea, Democratic People's Republic of": 2, 'Portugal': 6, 'Uruguay': 2, 'Samoa': 8, 'South Africa': 2, 'England': 93, 'America': 3, 'North Korea': 6}"
"Vasas SC","{'Hungary': 6, 'Netherlands': 2}"
"C.D. ESPOLI","{'Ecuador': 62, 'Paraguay': 2}"
"Baltimore Blast (1980-1992)","{'Jersey': 6, 'United States': 2, 'England': 6, 'Scotland': 3, 'America': 3}"
"Portadown F.C.","{'Australia': 3, 'Azerbaijan': 4, 'Congo': 2, 'Croatia': 2, 'Ireland': 69, 'Latvia': 2, 'Oman': 2, 'Scotland': 3, 'Northern Ireland': 63, 'Yugoslavia': 3}"
"Hudiksvalls ABK","{'Sweden': 14}"
"FK Kolubara","{'Montenegro': 15, 'Serbia': 114, 'Yugoslavia': 51}"
"K.A.A. Gent","{'Albania': 2, 'Austria': 4, 'Belgium': 180, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Belarus': 2, 'Canada': 3, 'Switzerland': 2, 'Congo': 4, 'Costa Rica': 4, 'Germany': 6, 'Denmark': 2, 'Egypt': 2, 'Spain': 6, 'France': 26, 'Ghana': 2, 'Croatia': 2, 'Hungary': 9, 'Iceland': 4, 'Israel': 6, 'Italy': 4, 'Jordan': 4, 'Luxembourg': 4, 'Morocco': 4, 'Mali': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 26, 'Norway': 6, 'Oman': 10, 'Portugal': 4, 'Romania': 15, 'Serbia': 4, 'Sweden': 4, 'Togo': 2, 'Ukraine': 9, 'England': 6, 'Scotland': 3, 'Turkey': 3}"
"Puntarenas F.C.","{'Costa Rica': 30, 'Iran, Islamic Republic of': 1, 'America': 6}"
"Rio Ave F.C.","{'Iran, Islamic Republic of': 1, 'Portugal': 50}"
"FC Shakhtar-2 Donetsk","{'Ukraine': 21}"
"SpVgg Greuther Fürth","{'Switzerland': 2, 'Germany': 92, 'Ghana': 2, 'Croatia': 2, 'Hungary': 3, 'Morocco': 2, 'Niger': 4, 'Oman': 2, 'Philippines': 2, 'United States': 2, 'Samoa': 2}"
"Bayer 04 Leverkusen II","{'Germany': 2, 'Jordan': 2}"
"NK Marsonia","{'Croatia': 50}"
"Royal Crossing Club Molenbeek","{'Belgium': 12}"
"TSG 1899 Hoffenheim","{'Austria': 4, 'Germany': 78, 'Ghana': 2, 'Croatia': 2, 'Netherlands': 4, 'United States': 2}"
"K.V. Mechelen","{'Albania': 2, 'Belgium': 120, 'Burkina Faso': 6, 'Bosnia and Herzegovina': 2, 'Congo': 2, 'Germany': 4, 'Denmark': 2, 'Algeria': 2, 'Greece': 4, 'Croatia': 2, 'Hungary': 6, 'Israel': 4, 'Italy': 8, 'Luxembourg': 2, 'Mali': 12, 'Montenegro': 3, 'Netherlands': 40, 'Norway': 2, 'Oman': 4, 'Portugal': 4, 'Romania': 6, 'Serbia': 8, 'Sweden': 12, 'England': 6, 'Scotland': 3, 'Yugoslavia': 3}"
"Uberlândia Esporte Clube","{'Brazil': 14, 'America': 6}"
"SC Westtünnen","{}"
"Esporte Clube Taubaté","{'Brazil': 12, 'America': 3}"
"Santos de Guápiles","{'Costa Rica': 18, 'Liberia': 4}"
"Nasarawa United F.C.","{'Denmark': 2, 'Niger': 84, 'Nigeria': 80}"
"F. C. Den Bosch","{'Belgium': 2, 'Georgia': 3, 'Israel': 4, 'Jordan': 4, 'Netherlands': 84, 'Poland': 2}"
"Dukla Tábor","{}"
"Grasshoppers Zürich","{'Albania': 4, 'Argentina': 8, 'Austria': 14, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Switzerland': 138, 'China': 4, 'Germany': 24, 'Ecuador': 2, 'Estonia': 2, 'France': 2, 'Guinea': 2, 'Hong Kong': 2, 'Croatia': 2, 'Hungary': 9, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Japan': 6, 'Moldova, Republic of': 1, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 4, 'New Zealand': 3, 'Oman': 8, 'Peru': 2, 'Poland': 2, 'Portugal': 4, 'Romania': 9, 'Senegal': 4, 'Slovakia': 2, 'Sweden': 6, 'Zimbabwe': 2, 'England': 3, 'Scotland': 3, 'Yugoslavia': 12}"
"Vitoria SC","{'Belgium': 6, 'Switzerland': 2, 'Germany': 4, 'Denmark': 2, 'Spain': 12, 'France': 4, 'Croatia': 2, 'Hungary': 3, 'Italy': 4, 'Macao': 4, 'Netherlands': 6, 'Poland': 2, 'Portugal': 64, 'Slovakia': 4, 'Chad': 20, 'England': 15, 'Scotland': 6, 'Turkey': 6}"
"São Cristóvão de Futebol e Regatas","{'Brazil': 28, 'America': 3}"
"1. FC Košice","{'Albania': 2, 'Armenia': 2, 'Austria': 6, 'Belgium': 4, 'Bosnia and Herzegovina': 2, 'Germany': 14, 'Denmark': 10, 'France': 2, 'Greece': 4, 'Hungary': 12, 'Ireland': 3, 'Iceland': 2, 'Israel': 4, 'Italy': 4, 'Lithuania': 2, 'Netherlands': 4, 'Norway': 2, 'Poland': 12, 'Portugal': 2, 'Slovakia': 58, 'Sweden': 8, 'England': 9, 'Scotland': 3, 'Northern Ireland': 3, 'Yugoslavia': 3, 'Turkey': 6}"
"CA Osasuna B","{'Dominica': 2, 'Dominican Republic': 3, 'Spain': 54, 'Greece': 4, 'Iran, Islamic Republic of': 2, "Lao People's Democratic Republic": 1}"
"CF Extremadura","{'Argentina': 4, 'Belgium': 2, 'Brazil': 2, 'Switzerland': 2, 'Cameroon': 2, 'Colombia': 2, 'Spain': 30, 'Guinea': 2, 'Equatorial Guinea': 2, 'Italy': 2, 'Paraguay': 2, 'Uruguay': 2}"
"Club Brugge K.V.","{'Austria': 2, 'Belgium': 104, 'Netherlands': 4, 'Oman': 2, 'England': 6}"
"SKA Rostov","{}"
"FC Dinamo Tbilisi","{'Albania': 4, 'Armenia': 4, 'Austria': 10, 'Azerbaijan': 6, 'Belgium': 4, 'Bulgaria': 6, 'Belarus': 6, 'Brazil': 4, 'Switzerland': 2, 'China': 2, 'Czechia': 5, 'Germany': 18, 'Denmark': 4, 'Spain': 10, 'Estonia': 6, 'France': 12, 'Faroe Islands': 6, 'Georgia': 315, 'Greece': 8, 'Croatia': 6, 'Hungary': 3, 'Ireland': 9, 'Iran, Islamic Republic of': 3, 'Iceland': 2, 'Italy': 14, 'Jordan': 10, 'Kazakhstan': 2, 'Liechtenstein': 2, 'Luxembourg': 2, 'Latvia': 4, 'Moldova, Republic of': 2, 'Netherlands': 4, 'Norway': 2, 'Oman': 12, 'Poland': 4, 'Portugal': 6, 'Romania': 9, 'Serbia': 2, 'Slovakia': 2, 'Sweden': 2, 'Chad': 46, 'Ukraine': 3, 'Uzbekistan': 2, 'England': 6, 'Wales': 6, 'Northern Ireland': 6, 'America': 6, 'Yugoslavia': 3}"
"Thionville FC","{'Germany': 6, 'France': 26}"
"J&P Coats","{'England': 6, 'Scotland': 3, 'America': 15}"
"CA Paris-Charenton","{'France': 14}"
"América de Quito","{'Ecuador': 28, 'America': 30}"
"Sport Boys Warnes","{'Argentina': 6, 'Australia': 6, 'Bolivia, Plurinational State of': 39, 'Brazil': 2, 'Colombia': 2, 'Spain': 4, 'Iran, Islamic Republic of': 1, 'Paraguay': 2, 'America': 6}"
"Bnei Yehuda Tel Aviv F.C.","{'Armenia': 2, 'Bulgaria': 4, 'Iran, Islamic Republic of': 1, 'Israel': 114, 'Niger': 2, 'Nigeria': 2, 'Slovakia': 6, 'Yemen': 6}"
"El Cóndor","{'Argentina': 24, 'Chile': 4, 'Scotland': 3, 'America': 3}"
"Canadian National Soccer League","{'Albania': 2, 'Argentina': 4, 'Canada': 153, 'Estonia': 2, 'Croatia': 62, 'Italy': 2, 'Malta': 2, 'Serbia': 28, 'England': 6}"
"Aurora Pro Patria 1919","{'France': 2, 'Iran, Islamic Republic of': 1, 'Italy': 10}"
"Al Shabab FC (Riyadh)","{'United Arab Emirates': 3, 'Argentina': 14, 'Belgium': 4, 'Bahrain': 2, 'Brazil': 30, 'China': 2, 'Germany': 2, 'Egypt': 2, 'Spain': 6, 'France': 2, 'Croatia': 2, 'Indonesia': 2, 'India': 2, 'Iran, Islamic Republic of': 3, 'Iraq': 2, 'Jordan': 2, 'Japan': 3, 'Korea, Republic of': 1, 'Kuwait': 6, 'Lebanon': 2, 'Netherlands': 2, 'Oman': 4, 'Portugal': 10, 'Qatar': 2, 'Romania': 6, 'Saudi Arabia': 36, 'Syrian Arab Republic': 2, 'Tunisia': 6, 'Uruguay': 6, 'Uzbekistan': 2, 'South Korea': 3}"
"Uberaba Sport Club","{'Brazil': 14, 'America': 6}"
"Jeju United FC","{'Korea, Republic of': 4, 'South Korea': 12}"
"Textil Mandiyú","{'Argentina': 10}"
"Esporte Clube Bahia","{'Argentina': 2, 'Brazil': 170, 'Portugal': 2, 'Paraguay': 2, 'Chad': 6, 'Uruguay': 2, 'America': 12}"
"Perugia Calcio","{'Belgium': 2, 'Germany': 6, 'Finland': 2, 'France': 10, 'Greece': 4, 'Italy': 22, 'Japan': 6, 'Korea, Republic of': 3, 'Libya': 3, 'Netherlands': 2, 'Oman': 2, 'Peru': 322, 'Scotland': 3, 'Yugoslavia': 3, 'South Korea': 9, 'Turkey': 3}"
"Sangju Sangmu FC","{'Korea, Republic of': 36, 'South Korea': 108}"
"FC Rouen","{'Argentina': 2, 'Denmark': 2, 'Algeria': 2, 'France': 104, 'Croatia': 2, 'Iceland': 2, 'Monaco': 4, 'Mali': 2, 'Senegal': 2, 'Serbia': 2}"
"NorthEast United FC","{'Bolivia, Plurinational State of': 2, 'Spain': 4, 'Ghana': 4, 'India': 254, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Mali': 2, 'Mauritania': 2, 'Niger': 2, 'Nigeria': 2, 'New Zealand': 6, 'Portugal': 8, 'Chad': 2, 'Venezuela, Bolivarian Republic of': 1, 'Samoa': 4, 'America': 6, 'Turkey': 3}"
"Cádiz CF","{'Argentina': 12, 'Armenia': 2, 'Chile': 2, 'Spain': 240, 'Gibraltar': 6, 'Hungary': 3, 'India': 10, 'Iran, Islamic Republic of': 8, 'Peru': 6, 'El Salvador': 4, 'Uruguay': 6, 'England': 6, 'America': 6}"
"Hapoel Ironi Rishon LeZion F.C.","{'Croatia': 4, 'Israel': 76, 'Moldova, Republic of': 2, 'Peru': 2, 'America': 3}"
"CS Tiligul-Tiras Tiraspol","{'Luxembourg': 2, 'Moldova, Republic of': 81, 'Ukraine': 3}"
"Unión Magdalena","{'Argentina': 6, 'Austria': 4, 'Chile': 2, 'Colombia': 128, 'Hungary': 42, 'Italy': 6, 'Oman': 6, 'Peru': 2, 'Paraguay': 2, 'Romania': 6, 'Slovakia': 2, 'America': 3, 'Yugoslavia': 6}"
"CDUdeC","{'Argentina': 2, 'Bolivia, Plurinational State of': 1, 'Brazil': 2, 'Chile': 88, 'Mexico': 2, 'Peru': 2, 'Paraguay': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 42}"
"FC Admira Wacker Mödling","{'Austria': 168, 'Azerbaijan': 2, 'Belgium': 4, 'Bulgaria': 2, 'Switzerland': 2, 'Cyprus': 2, 'Czechia': 2, 'Germany': 10, 'Denmark': 2, 'Finland': 2, 'France': 2, 'Croatia': 8, 'Hungary': 6, 'Iran, Islamic Republic of': 2, 'Italy': 6, 'Lithuania': 2, 'Mali': 2, 'Poland': 8, 'Slovakia': 4, 'Slovenia': 4, 'Tajikistan': 2, 'Ukraine': 3, 'England': 3, 'Wales': 3, 'Yugoslavia': 3}"
"Feyenoord","{'Brazil': 2, 'China': 4, 'Germany': 4, 'Ghana': 8, 'Hungary': 3, 'India': 16, 'Italy': 2, 'Japan': 6, 'Korea, Republic of': 1, 'Monaco': 4, 'Netherlands': 60, 'Oman': 2, 'Poland': 6, 'Romania': 3, 'Sweden': 2, 'England': 6, 'America': 3, 'South Korea': 3}"
"Saba Qom F.C.","{'Iran, Islamic Republic of': 26}"
"Cleveland Cobras","{'Canada': 3, 'Germany': 2, 'Georgia': 6, 'Croatia': 2, 'Hungary': 3, 'Ireland': 3, 'Israel': 4, 'Jersey': 3, 'Latvia': 2, 'Oman': 2, 'Poland': 4, 'Serbia': 2, 'America': 45}"
"FC Agro-Goliador Chişinău","{'Moldova, Republic of': 19}"
"Club de Regatas Vasco da Gama","{'Argentina': 20, 'Australia': 3, 'Brazil': 468, 'Chile': 6, 'Colombia': 2, 'Ecuador': 2, 'Spain': 2, 'India': 6, 'Iran, Islamic Republic of': 5, 'Jersey': 3, 'Japan': 3, 'Mexico': 2, 'Oman': 2, 'Portugal': 14, 'Paraguay': 2, 'Togo': 8, 'Uruguay': 10, 'South Africa': 4, 'England': 12, 'America': 111}"
"Pedrabranca Futebol Clube","{'Brazil': 14, 'America': 3}"
"R.E. Virton","{'Belgium': 14, 'Luxembourg': 4}"
"C.D. Huachipato","{'Argentina': 26, 'Bolivia, Plurinational State of': 2, 'Brazil': 4, 'Chile': 314, 'Ecuador': 2, 'Croatia': 2, 'Paraguay': 6, 'Chad': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 69}"
"Las Vegas Quicksilvers","{'Portugal': 2, 'America': 54}"
"Club Cerro Corá","{'Japan': 3, 'Paraguay': 52}"
"Avispa Fukuoka","{'Australia': 6, 'Japan': 90, 'Netherlands': 2, 'Oman': 2, 'Romania': 3, 'Slovenia': 4, 'Yugoslavia': 3}"
"St. Louis Simpkins-Ford","{'England': 6, 'America': 6}"
"Rangers de Talca","{'Argentina': 48, 'Chile': 206, 'Colombia': 4, 'Spain': 2, 'Hungary': 9, 'Italy': 2, 'Mali': 2, 'Paraguay': 4, 'El Salvador': 2, 'Uruguay': 14, 'Scotland': 3, 'America': 3}"
"Alliance Dudelange","{'Germany': 2, 'Denmark': 2, 'Luxembourg': 24}"
"1. FC Nürnberg","{'Austria': 10, 'Belgium': 2, 'Switzerland': 2, 'Germany': 126, 'France': 2, 'Hungary': 9, 'Monaco': 4, 'Netherlands': 8, 'Oman': 2, 'Slovakia': 2, 'Yugoslavia': 3}"
"Csepel SC","{'Hungary': 15, 'Oman': 2, 'Turkey': 6}"
"AIK Fotboll","{'Armenia': 8, 'Austria': 8, 'Belgium': 2, 'Bulgaria': 2, 'Belarus': 4, 'Canada': 3, 'Switzerland': 8, 'Czechia': 4, 'Germany': 20, 'Denmark': 12, 'Eritrea': 4, 'Spain': 6, 'Finland': 2, 'France': 8, 'Faroe Islands': 3, 'Gibraltar': 3, 'Greece': 6, 'Hungary': 9, 'Ireland': 9, 'Iceland': 10, 'Israel': 2, 'Italy': 6, 'Jersey': 12, 'Kazakhstan': 2, 'Kenya': 2, 'Lithuania': 2, 'Luxembourg': 2, 'Latvia': 2, 'Moldova, Republic of': 1, 'North Macedonia': 2, 'Netherlands': 6, 'Norway': 10, 'Poland': 18, 'Singapore': 8, 'Slovakia': 22, 'Slovenia': 4, 'Sweden': 94, 'Ukraine': 6, 'England': 21, 'Scotland': 12, 'Wales': 6, 'Northern Ireland': 6, 'Yugoslavia': 3, 'Turkey': 6}"
"S.S.D. Parma Calcio 1913","{'Albania': 6, 'China': 4, 'Cyprus': 2, 'France': 8, 'India': 2, 'Italy': 62, 'Oman': 2, 'America': 6}"
"HNK Trogir","{'Croatia': 38}"
"Colchester United F.C.","{'Congo': 4, 'United Kingdom': 4, 'Iran, Islamic Republic of': 1, 'Oman': 8, 'England': 18}"
"K.V.C. Westerlo","{'Belgium': 54, 'France': 2, 'Jordan': 4, 'Netherlands': 4, 'Oman': 2, 'Chad': 2}"
"Atlético Nacional","{'Argentina': 4, 'Brazil': 22, 'Chile': 2, 'Colombia': 322, 'Ecuador': 6, 'Spain': 2, 'Honduras': 6, 'Japan': 6, 'Panama': 2, 'Peru': 8, 'Paraguay': 8, 'Chad': 4, 'Uruguay': 6, 'Venezuela, Bolivarian Republic of': 3, 'America': 222}"
"Defensores de Belgrano","{'Argentina': 20, 'Brazil': 2, 'Chile': 2, 'Colombia': 2, 'Italy': 2, 'America': 6}"
"Frosinone Calcio","{'France': 24, 'Italy': 12, 'Jersey': 3, 'Oman': 6, 'Peru': 4, 'Chad': 2}"
"AS Lodigiani","{'France': 14, 'Italy': 16, 'Oman': 2}"
"S.C. Braga B","{'Australia': 3, 'Burkina Faso': 3, 'Canada': 3, 'Guinea': 2, 'Portugal': 30, 'Chad': 2}"
"Bahman F.C.","{'India': 2, 'Iran, Islamic Republic of': 11}"
"Toulouse FC (1937)","{'France': 38, 'Hungary': 3, 'Oman': 4, 'Romania': 6}"
"Marília Atlético Clube","{'Brazil': 18, 'Oman': 2}"
"Löwenbrau (amateurs)","{}"
"Platense F.C.","{'Argentina': 10, 'Belize': 12, 'Colombia': 2, 'Costa Rica': 4, 'Guatemala': 12, 'Honduras': 118, 'El Salvador': 2}"
"New England Revolution","{'Bermuda': 6, 'Costa Rica': 4, 'Guatemala': 2, 'Jersey': 6, 'Trinidad and Tobago': 2, 'Uruguay': 2, 'United States': 16, 'England': 522, 'America': 69}"
"Hertha BSC II","{'Germany': 8, 'Croatia': 2}"
"Kuwait SC","{'Bahrain': 10, 'China': 4, 'Algeria': 2, 'Egypt': 4, 'Hong Kong': 4, 'Croatia': 2, 'Indonesia': 4, 'India': 4, 'Iran, Islamic Republic of': 3, 'Iraq': 4, 'Jordan': 4, 'Kuwait': 334, 'Lebanon': 14, 'Libya': 3, 'Morocco': 2, 'Maldives': 6, 'Mauritania': 2, 'Oman': 8, 'Portugal': 2, 'Qatar': 6, 'Romania': 3, 'Saudi Arabia': 4, 'Syrian Arab Republic': 6, 'Thailand': 2, 'Tajikistan': 4, 'Tunisia': 2, 'Uzbekistan': 4, 'Yugoslavia': 3}"
"Boluspor","{'Turkey': 9}"
